"Number of cases, 100 million yen",Flow,,,,,,Amount Outstanding,,, Performing Loans Transferred,,,,,,,, Nonperforming Loans Transferred,,,,,,,,Number of Deals (Flow),,,,Amount (Flow),,,,Amount Outstanding,,,,Number of Transactions,,Amount,
During or End of  Quarter,Number of Deals,,,Amount,,,,,,Total of the Number of Transactions,,,,Total of the Amount,,,,Total of the Number of Transactions,,,,Total of the Amount,,,,Term Loans,,Commitment Lines,,Term Loans,,Commitment Lines,,Term Loans,,Commitment Lines,,To Financial Institutions,To SPCs,To Financial Institutions,To SPCs
,,Term Loans,Commitment Lines,,Term Loans,Commitment Lines,,Term Loans,Commitment Lines,,Sale,Trust Method,Loan Participation,,Sale,Trust Method,Loan Participation,,Sale,Trust Method,Loan Participation,,Sale,Trust Method,Loan Participation,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,,,,
2006.Ⅲ,"1,091",675,416,"64,204","33,620","30,584","418,622","248,224","170,398",316,209,53,54,"6,117","4,220",730,"1,167",690,674,15,1,"5,107","5,038",2,67,177,498,193,223,"12,324","21,296","23,222","7,362","105,330","142,894","134,321","36,077",202,6,"3,447",688
2006.Ⅳ,473,313,160,"51,907","31,955","19,952","433,097","264,967","168,130",250,195,18,37,"4,643","3,419",450,774,282,281,1,0,"1,082","1,077",5,0,88,225,89,71,"10,731","21,224","16,175","3,777","112,502","152,465","135,046","33,084",189,1,"3,347",50
2007.Ⅰ,"1,170",739,431,"102,763","43,894","58,869","454,435","268,999","185,436",737,582,15,140,"14,483","7,393","1,690","5,400","1,075","1,074",0,1,"11,289","11,236",0,53,181,558,213,218,"14,009","29,885","50,975","7,894","112,144","156,855","148,770","36,666",557,1,"7,205",49
2007.Ⅱ,292,178,114,"41,443","18,009","23,434","467,412","280,879","186,533",200,159,9,32,"3,398","2,219",485,694,160,160,0,0,"1,007","1,007",0,0,54,124,74,40,"3,685","14,324","20,891","2,543","116,033","164,846","151,464","35,069",156,0,"2,202",0
2007.Ⅲ,918,546,372,"63,321","33,000","30,321","483,176","293,773","189,403",633,445,16,172,"13,684","6,168",673,"6,843",854,854,0,0,"4,343","4,343",0,0,163,383,173,199,"14,199","18,801","23,165","7,156","124,198","169,575","154,666","34,737",438,0,"6,128",0
2007.Ⅳ,365,229,136,"47,017","23,064","23,953","487,445","294,999","192,446",357,315,14,28,"6,353","3,804","1,991",558,170,169,1,0,992,983,9,0,95,134,74,62,"12,141","10,923","19,896","4,057","123,391","171,608","157,928","34,518",313,0,"3,793",0
2008.Ⅰ,"1,068",635,433,"109,470","47,376","62,094","514,489","315,910","198,579",837,610,22,205,"15,676","7,708",653,"7,315","1,181","1,181",0,0,"7,593","7,593",0,0,201,434,223,210,"18,270","29,106","51,798","10,296","130,953","184,957","162,790","35,789",577,0,"7,678",0
2008.Ⅱ,299,182,117,"48,263","26,715","21,548","523,629","331,587","192,042",454,386,29,39,"6,296","5,007",351,938,290,290,0,0,"1,215","1,215",0,0,58,124,72,45,"6,111","20,604","15,830","5,718","134,293","197,294","156,631","35,411",386,0,"5,007",0
2008.Ⅲ,788,446,342,"67,456","33,766","33,690","531,507","333,721","197,786",665,532,20,113,"10,111","6,186",727,"3,198","1,291","1,290",1,0,"11,537","11,537",0,0,160,286,187,155,"18,537","15,229","28,005","5,685","137,353","196,368","160,310","37,476",529,1,"6,048",16
2008.Ⅳ,378,227,151,"66,456","31,488","34,968","559,909","351,015","208,894",218,186,11,21,"7,248","5,228",428,"1,592",216,216,0,0,946,946,0,0,126,101,91,60,"20,320","11,168","27,564","7,404","150,779","200,236","171,386","37,508",184,0,"4,977",0
2009.Ⅰ,859,471,388,"96,218","45,739","50,479","571,494","365,210","206,284",475,356,59,60,"8,260","4,884","1,150","2,226","1,538","1,538",0,0,"3,232","3,232",0,0,198,273,223,165,"23,445","22,294","41,978","8,501","164,047","201,163","169,362","36,922",354,0,"4,837",0
2009.Ⅱ,268,170,98,"44,990","26,752","18,238","575,812","374,519","201,293",204,171,9,24,"4,006","2,918",426,662,108,108,0,0,545,545,0,0,91,79,65,33,"10,040","16,712","14,738","3,500","170,139","204,380","165,953","35,340",171,0,"2,918",0
2009.Ⅲ,674,369,305,"62,357","30,721","31,636","585,685","382,771","202,914",255,223,9,23,"4,381","3,525",306,550,838,838,0,0,"2,330","2,330",0,0,148,221,162,143,"16,672","14,049","25,018","6,618","177,046","205,725","167,912","35,002",223,0,"3,525",0
2009.Ⅳ,309,178,131,"44,394","18,208","26,186","579,416","385,955","193,461",176,154,13,9,"2,445","1,989",351,105,98,98,0,0,547,547,0,0,81,97,81,50,"7,169","11,039","21,399","4,787","177,995","207,960","160,956","32,505",153,0,"1,976",0
2010.Ⅰ,821,470,351,"103,504","44,083","59,421","577,002","382,219","194,783",547,402,141,4,"6,492","6,056",290,146,895,895,0,0,"3,476","3,476",0,0,162,308,193,158,"14,935","29,148","51,229","8,192","175,609","206,610","160,239","34,544",399,0,"5,976",0
2010.Ⅱ,214,116,98,"39,426","18,846","20,580","573,691","379,589","194,102",212,199,5,8,"3,287","2,992",186,109,102,102,0,0,510,510,0,0,33,83,63,35,"4,242","14,604","18,378","2,202","177,454","202,135","160,836","33,266",199,0,"2,992",0
2010.Ⅲ,686,407,279,"63,696","30,569","33,127","570,576","384,129","186,447",351,322,8,21,"5,438","4,865",209,364,786,786,0,0,"4,355","4,355",0,0,129,278,148,131,"14,033","16,536","26,556","6,571","181,247","202,882","153,907","32,540",321,0,"4,815",0
2010.Ⅳ,292,163,129,"42,360","15,866","26,494","559,769","377,760","182,009",235,230,3,2,"3,686","3,427",223,36,82,82,0,0,548,548,0,0,63,100,72,57,"4,095","11,771","20,926","5,568","176,412","201,348","149,024","32,985",229,0,"3,424",0
2011.Ⅰ,818,482,336,"86,897","38,541","48,356","550,903","369,112","181,791",348,335,8,5,"4,321","4,075",218,28,838,838,0,0,"2,137","2,137",0,0,165,317,185,151,"13,663","24,878","41,149","7,207","174,879","194,233","150,903","30,888",327,1,"4,033",1
2011.Ⅱ,227,127,100,"47,777","21,133","26,644","559,401","373,640","185,761",213,191,4,18,"2,654","2,360",90,204,333,332,0,1,"2,348","2,348",0,0,45,82,64,36,"6,599","14,534","22,941","3,703","176,376","197,264","153,726","32,035",190,0,"2,289",0
2011.Ⅲ,746,422,324,"81,026","44,357","36,669","568,852","378,226","190,626",329,326,0,3,"4,860","4,771",0,89,928,928,0,0,"2,027","2,027",0,0,167,255,174,150,"29,876","14,481","28,934","7,735","185,171","193,055","156,587","34,039",324,0,"4,766",0
2011.Ⅳ,324,187,137,"50,257","28,112","22,145","570,316","386,702","183,614",190,184,4,2,"2,462","2,365",87,10,60,60,0,0,"1,001","1,001",0,0,68,119,73,64,"13,176","14,936","16,428","5,717","194,318","192,384","151,497","32,117",184,0,"2,365",0
2012.Ⅰ,915,571,344,"107,968","54,120","53,848","573,312","390,428","182,884",350,321,13,16,"5,673","4,743",706,224,"1,168","1,168",0,0,"2,576","2,576",0,0,223,348,170,174,"27,106","27,014","45,062","8,786","200,956","189,472","151,945","30,939",321,0,"4,743",0
2012.Ⅱ,260,157,103,"43,074","24,559","18,515","598,369","410,565","187,804",331,322,4,5,"4,180","3,841",229,110,129,128,0,1,756,734,0,22,62,95,60,43,"6,636","17,923","14,614","3,901","204,817","205,748","156,009","31,795",322,0,"3,841",0
2012.Ⅲ,798,478,320,"80,316","48,608","31,708","603,053","420,841","182,212",299,294,2,3,"4,389","3,995",210,184,910,909,0,1,"1,629","1,623",0,6,189,289,160,160,"28,197","20,411","25,085","6,623","207,950","212,891","152,659","29,553",291,0,"3,966",0
2012.Ⅳ,337,208,129,"60,103","39,104","20,999","609,113","424,753","184,360",253,245,4,4,"6,056","5,831",175,50,101,101,0,0,783,783,0,0,107,101,69,60,"30,280","8,824","15,703","5,296","212,325","212,428","153,946","30,414",245,0,"5,831",0
2013.Ⅰ,968,624,344,"100,875","54,996","45,879","620,270","435,393","184,877",415,407,6,2,"6,519","6,115",346,58,"1,395","1,395",0,0,"2,071","2,071",0,0,245,379,168,176,"28,570","26,426","38,784","7,095","226,287","209,106","153,580","31,297",401,2,"5,952",158
2013.Ⅱ,277,173,104,"60,233","35,205","25,028","625,705","439,361","186,344",191,190,1,0,"2,956","2,936",20,0,110,110,0,0,"1,305","1,305",0,0,66,107,57,47,"6,926","28,279","21,427","3,601","231,856","207,505","154,921","31,423",188,0,"2,931",0
2013.Ⅲ,886,568,318,"99,319","67,585","31,734","644,000","457,278","186,722",361,355,3,3,"5,850","5,243",127,480,"1,067","1,067",0,0,"1,759","1,759",0,0,205,363,158,160,"43,235","24,350","25,129","6,605","245,264","212,014","155,278","31,444",352,0,"5,224",0
2013.Ⅳ,363,234,129,"50,522","27,460","23,062","645,230","460,228","185,002",199,198,0,1,"3,279","3,259",0,20,106,105,0,1,480,471,0,9,76,158,64,65,"7,372","20,088","18,106","4,956","242,839","217,389","153,523","31,479",198,0,"3,259",0
2014.Ⅰ,"1,024",662,362,"93,672","49,522","44,150","646,375","457,766","188,609",330,328,1,1,"5,556","5,496",50,10,"1,435","1,435",0,0,"2,478","2,478",0,0,210,452,172,190,"20,153","29,369","37,590","6,560","243,637","214,129","157,089","31,520",325,0,"5,466",0
2014.Ⅱ,273,169,104,"37,074","16,624","20,450","640,259","450,823","189,436",153,153,0,0,"2,561","2,561",0,0,136,136,0,0,463,463,0,0,55,114,51,53,"6,706","9,918","17,076","3,374","243,866","206,957","159,470","29,966",150,0,"2,531",0
2014.Ⅲ,911,558,353,"71,461","40,018","31,443","644,578","457,196","187,382",230,228,1,1,"3,524","3,465",29,30,653,652,1,0,"1,183","1,179",4,0,168,390,167,186,"17,352","22,666","23,473","7,970","244,408","212,788","156,931","30,451",227,0,"3,460",0
2014.Ⅳ,395,245,150,"49,416","25,991","23,425","635,822","446,435","189,387",214,212,0,2,"3,732","3,702",0,30,111,111,0,0,550,550,0,0,83,162,77,73,"8,897","17,094","18,514","4,911","245,405","201,030","157,554","31,833",210,0,"3,692",0
2015.Ⅰ,"1,112",725,387,"96,953","52,810","44,143","666,628","473,518","193,110",350,331,2,17,"5,097","4,767",92,238,"1,360","1,359",1,0,"1,982","1,972",10,0,210,515,161,226,"22,044","30,766","34,952","9,191","259,857","213,661","160,848","32,262",325,1,"4,733",25
2015.Ⅱ,313,191,122,"48,349","23,710","24,639","671,110","477,239","193,871",162,153,0,9,"2,559","2,463",0,96,92,92,0,0,579,579,0,0,78,113,58,64,"13,585","10,125","21,210","3,429","262,682","214,557","160,757","33,114",152,0,"2,453",0
2015.Ⅲ,927,551,376,"71,435","36,235","35,200","681,895","487,087","194,808",303,285,12,6,"3,279","2,818",383,78,711,709,2,0,"1,141","1,132",9,0,177,374,149,227,"14,967","21,268","29,053","6,147","266,047","221,040","161,352","33,456",271,0,"2,690",0
2015.Ⅳ,444,283,161,"59,568","39,576","19,992","699,566","503,207","196,359",212,200,0,12,"3,013","2,832",0,181,115,115,0,0,231,231,0,0,99,184,70,91,"10,589","28,987","16,517","3,475","267,329","235,878","162,629","33,730",196,0,"2,723",0
2016.Ⅰ,"1,206",750,456,"105,657","61,316","44,341","706,435","510,640","195,795",270,260,3,7,"3,748","3,582",47,119,"1,111","1,110",0,1,"1,737","1,713",0,24,210,540,176,280,"27,192","34,124","38,023","6,318","275,539","235,101","161,192","34,603",256,0,"3,521",0
2016.Ⅱ,355,216,139,"52,398","29,423","22,975","706,309","511,889","194,420",180,159,5,16,"3,131","2,997",118,16,125,124,0,1,229,228,0,1,78,138,61,78,"17,659","11,764","18,934","4,041","281,350","230,539","158,676","35,744",157,0,"2,892",0
2016.Ⅲ,969,597,372,"92,677","55,909","36,768","727,842","526,448","201,394",320,284,25,11,"6,858","5,817",436,605,577,577,0,0,668,668,0,0,183,414,146,226,"32,152","23,757","29,929","6,839","293,863","232,585","164,247","37,147",269,0,"5,477",0
2016.Ⅳ,539,346,193,"52,676","30,599","22,077","740,610","539,949","200,661",227,219,3,5,"3,388","2,895",43,450,87,87,0,0,288,288,0,0,118,228,71,122,"9,505","21,094","17,500","4,577","297,170","242,779","164,137","36,524",214,0,"2,558",0
2017.Ⅰ,"1,196",725,471,"101,015","60,045","40,970","742,348","539,490","202,858",434,363,20,51,"6,436","4,213",966,"1,257",892,892,0,0,"1,117","1,117",0,0,188,537,152,319,"23,694","36,351","31,936","9,034","291,454","248,036","164,201","38,657",353,0,"4,067",0
2017.Ⅱ,369,207,162,"47,755","24,208","23,547","754,547","544,258","210,289",256,243,2,11,"4,841","4,223",63,555,98,98,0,0,270,270,0,0,55,152,58,104,"4,853","19,355","19,564","3,983","289,876","254,382","171,758","38,531",184,1,"3,232",950
2017.Ⅲ,"1,016",582,434,"69,520","39,198","30,322","753,628","552,111","201,517",394,357,6,31,"6,963","5,457",743,763,468,468,0,0,555,555,0,0,161,421,147,287,"15,726","23,472","23,637","6,685","291,362","260,749","163,535","37,982",351,0,"5,257",0
2017.Ⅳ,573,353,220,"81,143","58,469","22,674","765,810","561,815","203,995",546,533,1,12,"4,203","3,613",36,554,85,85,0,0,473,473,0,0,109,244,89,131,"38,730","19,739","19,487","3,187","298,985","262,830","166,250","37,745",236,0,"3,583",0
2018.Ⅰ,"1,270",741,529,"106,155","55,286","50,869","775,364","568,520","206,844",443,398,13,32,"8,796","7,555",767,474,793,793,0,0,"1,053","1,053",0,0,213,528,165,364,"20,887","34,399","40,413","10,456","298,994","269,526","169,201","37,643",390,0,"7,411",0
2018.Ⅱ,355,213,142,"43,084","26,621","16,463","776,934","579,504","197,430",210,202,1,7,"3,720","3,421",42,257,95,95,0,0,537,537,0,0,68,145,46,96,"4,646","21,975","11,914","4,549","300,274","279,230","159,039","38,391",196,0,"3,334",0
2018.Ⅲ,937,529,408,"74,042","46,760","27,282","782,898","581,812","201,086",287,260,13,14,"6,086","5,246",579,261,328,328,0,0,478,478,0,0,131,398,125,283,"10,635","36,125","20,513","6,769","284,086","297,726","162,000","39,086",257,0,"5,213",0
2018.Ⅳ,544,344,200,"63,159","42,996","20,163","786,693","587,532","199,161",221,203,2,16,"10,136","9,234",100,802,135,134,0,1,744,729,0,15,76,268,66,134,"24,564","18,432","16,231","3,932","300,386","287,146","159,953","39,208",199,0,"9,206",0
2019.Ⅰ,"1,268",757,511,"119,341","73,490","45,851","813,395","608,480","204,915",452,423,11,18,"13,234","11,516",931,787,647,646,0,1,"1,095","1,091",0,4,216,541,147,364,"34,197","39,293","34,713","11,138","312,040","296,440","163,570","41,345",402,0,"11,474",0
